"cnes","ano","categoria","te_bcc_leitos"
2082748,2016,"Filantrópico",0.330507306313758
2082810,2016,"Filantrópico",0.271293425864632
2082829,2016,"Público Municipal",0.596748629767038
2082845,2016,"Filantrópico",0.313293679551359
2082853,2016,"Filantrópico",0.281796839421904
2082861,2016,"Público Municipal",0.62513412853881
2082888,2016,"Filantrópico",0.381255075689339
2082926,2016,"Filantrópico",0.441322894659699
2083019,2016,"OSS",0.429586505714744
2083027,2016,"Filantrópico",0.12703047269226
2083051,2016,"Filantrópico",0.290805530083939
2083086,2016,"Filantrópico",0.818451075032909
2083094,2016,"Direta",0.257204206388708
2083116,2016,"Filantrópico",0.322357962092679
2083140,2016,"Filantrópico",0.23060601607155
2083175,2016,"Filantrópico",0.313194135939582
2083604,2016,"Filantrópico",0.431405506203535
2083876,2016,"Filantrópico",0.297126802722875
2083981,2016,"OSS",0.853422316949556
2084058,2016,"Filantrópico",0.252230279321613
2084163,2016,"OSS",0.620855077057774
2084171,2016,"Filantrópico",0.525509748408013
2084228,2016,"Filantrópico",0.32436107303428
2084236,2016,"Direta",0.105895249858405
2084414,2016,"Filantrópico",0.531285297022595
2084422,2016,"Filantrópico",0.230714550624305
2084473,2016,"Público Municipal",0.40378465679677
2085194,2016,"Filantrópico",0.287842418629323
2087057,2016,"Filantrópico",0.525373344964993
2087103,2016,"Filantrópico",0.36737969581117
2087111,2016,"Filantrópico",0.3546918092951
2087219,2016,"Público Municipal",0.462642867221674
2087618,2016,"Público Municipal",0.341360750759039
2087715,2016,"Público Municipal",0.60186263096624
2087804,2016,"OSS",0.597012463669918
2088193,2016,"Filantrópico",0.403822096988917
2088487,2016,"Filantrópico",0.243430485007373
2088495,2016,"Filantrópico",0.645500956857397
2088517,2016,"Direta",0.325313437619145
2088525,2016,"Filantrópico",0.124614594039054
2088576,2016,"OSS",0.509209346573632
2089327,2016,"Filantrópico",0.470446533436687
2089335,2016,"Filantrópico",0.393776731405382
2089572,2016,"Filantrópico",0.13389166308841
2089696,2016,"Filantrópico",0.40446006460953
2089785,2016,"Filantrópico",1
2090236,2016,"Filantrópico",1
2090961,2016,"Filantrópico",0.36298783720014
2091267,2016,"Filantrópico",0.20179889298893
2091313,2016,"Direta",0.579883166216315
2091399,2016,"Filantrópico",1
2091585,2016,"OSS",0.797037422836738
2091755,2016,"Direta",0.458534789907898
2092298,2016,"Público Municipal",0.523079598762385
2092611,2016,"Filantrópico",0.382768675131653
2093324,2016,"Filantrópico",0.422590013734196
2093332,2016,"Filantrópico",0.265586509201565
2096412,2016,"Filantrópico",0.39780534282357
2096463,2016,"Filantrópico",0.457890188579311
2096498,2016,"Público Municipal",0.586121330408599
2097613,2016,"Filantrópico",0.00438756438893194
2097877,2016,"Filantrópico",0.330776301879855
2688433,2016,"Filantrópico",0.39786515017498
2688522,2016,"Filantrópico",0.146445614387255
2688573,2016,"Direta",0.609176841344017
2688689,2016,"Filantrópico",0.563062733080657
2698374,2016,"Filantrópico",0.278111004478567
2698471,2016,"Público Municipal",0.673421551705768
2699915,2016,"Filantrópico",0.285721590967393
2702193,2016,"Filantrópico",0.443448151696555
2704900,2016,"Filantrópico",0.538928147010926
2705222,2016,"Filantrópico",0.416035629450545
2705982,2016,"Filantrópico",0.807880879957044
2708566,2016,"Privado",0.0123027067252778
2708779,2016,"Filantrópico",0.587321308279132
2716097,2016,"Público Municipal",0.421332138711845
2745798,2016,"Filantrópico",0.298543063803955
2748029,2016,"Filantrópico",0.203131798761142
2748223,2016,"Filantrópico",0.832380780521064
