etapa,cnes,nome_referencia,motivo,anos_removidos
ETAPA B,105708,Hospital De Campanha Covid 19 Franco Da Rocha,mediana de leitos = 0.0 (corte: > 50),3
ETAPA B,106232,HOSPITAL DE CAMPANHA COVID 19 SUZANO,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,110310,Hospital De Campanha Covid 19 Caieiras,mediana de leitos = 7.5 (corte: > 50),2
ETAPA B,110612,Unidade Respiratoria Nova Hortolandia,mediana de leitos = 0.0 (corte: > 50),3
ETAPA B,110981,Hospital De Campanha Covid 19 Dr Akira Tada,mediana de leitos = 10.0 (corte: > 50),3
ETAPA B,112062,Hospital De Campanha Ribeirao Pires,mediana de leitos = 13.5 (corte: > 50),2
ETAPA B,112542,Hospital De Campanha Covid 19,mediana de leitos = 25.0 (corte: > 50),2
ETAPA B,113921,Hospital De Campanha,mediana de leitos = 15.0 (corte: > 50),2
ETAPA B,115509,Hospital De Clinicas Anjo Gabriel,mediana de leitos = 34.0 (corte: > 50),5
ETAPA B,116750,HOSPITAL DE CAMPANHA POA CONTRA COVID,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,117749,HOSPITAL DE CAMPANHA COVID 19 FERRAZ DE VASCONCELOS,mediana de leitos = 20.0 (corte: > 50),1
ETAPA B,119172,ATPN HOSPITAL DE CAMPANHA DE MAUA,mediana de leitos = 30.0 (corte: > 50),1
ETAPA B,119199,HOSPITAL CAMPANHA DO MUNICIPIO DE CAJAMAR,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,127868,HOSPITAL ESTADUAL DE CAMPANHA COVID 19 IBIRAPUERA,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,127876,Hospital Estadual De Campanha Covid 19 Barradas,mediana de leitos = 0.0 (corte: > 50),2
ETAPA B,133272,Hospital De Campanha Covid 19 Municipio De Taubate,mediana de leitos = 10.0 (corte: > 50),2
ETAPA B,134163,Hospital De Campanha Covid 19 Jacarei,mediana de leitos = 7.0 (corte: > 50),2
ETAPA B,136328,Hospital De Campanha Covid 19 Pindamonhangaba,mediana de leitos = 2.0 (corte: > 50),3
ETAPA B,145963,HOSPITAL DE CAMPANHA COVID 19 CAMPINAS,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,146048,CENTRO DE COMBATE AO COVID 19 VILA ESPERANCA,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,149632,HOSPITAL DE CAMPANHA COVID 19 MOGI DAS CRUZES,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,150126,HOSPITAL DE CAMPANHA COVID 19 BRUNO DANIEL,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,151882,HOSPITAL DE CAMPANHA COVID 19 SOROCABA,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,155829,HOSPITAL DE CAMPANHA COVID 19 ASSIS,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,156701,HOSPITAL DE CAMPANHA COVID 19,mediana de leitos = 20.0 (corte: > 50),1
ETAPA B,158119,Complexo Hospitalar Municipal Sorocabana,mediana de leitos = 24.5 (corte: > 50),2
ETAPA B,163279,Hospital De Campanha Covid 19 Ufabc,mediana de leitos = 0.0 (corte: > 50),3
ETAPA B,179914,HOSPITAL DE CAMPANHA COVID 19 SV CONTINENTAL,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,197831,Hospital De Campanha Covid 19 Carlos Lourenco,mediana de leitos = 10.5 (corte: > 50),4
ETAPA B,213527,Hospital Estadual De Campanha Covid 19 Bauru,mediana de leitos = 40.0 (corte: > 50),3
ETAPA B,215368,Hospital De Campanha Covid 19,mediana de leitos = 38.0 (corte: > 50),1
ETAPA B,255297,Hospital Estadual Covid 19 Bebedouro,mediana de leitos = 20.0 (corte: > 50),3
ETAPA B,255874,Hospital De Campanha Covid 19 Guaratingueta,mediana de leitos = 20.0 (corte: > 50),2
ETAPA B,260134,UNIDADE DE INTERNACAO BASICA COVID,mediana de leitos = 10.0 (corte: > 50),2
ETAPA B,265187,,mediana de leitos = 33.5 (corte: > 50),2
ETAPA B,302961,Hospital De Campanha Covid 19 Rio Claro,mediana de leitos = 9.0 (corte: > 50),4
ETAPA B,404853,Ame Ambulatorio Medico De Especialidades De Campinas,mediana de leitos = 17.0 (corte: > 50),6
ETAPA B,478024,Ubsf Luz Da Esperanca,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,478849,Ubs Fraternidade,mediana de leitos = 10.0 (corte: > 50),2
ETAPA B,502138,HOSPITAL ESTADUAL COVID19 FRANCA,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,604828,HOSPITAL DE CAMPANHA COVID 19 ANCHIETA,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,605107,Hospital De Campanha Centro De Transicao E Estabilizacao Cov,mediana de leitos = 0.0 (corte: > 50),2
ETAPA B,621110,Hospital De Campanha Covid Embu Das Artes,mediana de leitos = 2.5 (corte: > 50),2
ETAPA B,625469,UPH ZO UNIDADE DE ATENDIMENTO DE SINDROME GRIPAL,mediana de leitos = 0.0 (corte: > 50),1
ETAPA B,636800,Hospital Estadual Covid 19 Ame Barretos,mediana de leitos = 2.0 (corte: > 50),1
ETAPA B,647101,Pronto Atendimento Dr Rubens Luis Costa,mediana de leitos = 7.0 (corte: > 50),1
ETAPA B,648582,HOSPITAL ESTADUAL COVID 19 AME ANDRADINA,mediana de leitos = 0.0 (corte: > 50),1
