cnes,ano,nome_fantasia,class_assistencial,porte_hospital,total_leitos,total_leitos_sus,leitos_internacao,leitos_sus,uti_total,uti_sus,diarias_internacao,diarias_uti,ocupacao_internacao,ocupacao_uti,cod_ibge,municipio,tipo_hospital,especializacao,n_linhas_resumo,qtde,qtde_obito_all,qtde_obito_sem_excl,dias_perm,valor,qtde_alta_complex,qtde_covid,dias_covid,valor_covid,n_linhas_prod,n_linhas_covid
2077124,2015,,Público Municipal,HPP,17,17,17,17,0,0,1073,0,17.292506043513296,0.0,351060,Carapicuiba,15 UNIDADE MISTA,-,1,382.0,0.0,0.0,1073.0,136307.63999999996,0.0,0.0,0.0,0.0,95,0
2077310,2015,,Filantrópico,HPP,2,2,2,2,0,0,8059,0,1103.972602739726,0.0,351840,Guaratingueta,62 HOSPITAL/DIA - ISOLADO,-,1,213.0,0.0,0.0,8059.0,229349.88,0.0,0.0,0.0,0.0,35,0
2077388,2015,,Filantrópico,Médio Porte,114,98,104,88,10,10,24209,2127,75.37048567870485,58.273972602739725,355030,Sao Paulo,07 HOSPITAL ESPECIALIZADO,005 MATERNIDADE,1,8701.0,14.0,13.0,24209.0,6049655.709999989,0.0,0.0,0.0,0.0,230,0
2077396,2015,,Filantrópico,Especial,846,591,648,464,198,127,210286,36630,124.1650921114785,79.0206018768202,354980,Sao Jose Do Rio Preto,05 HOSPITAL GERAL,N/A,1,41530.0,2360.0,2360.0,210286.0,102912596.98000035,7238.0,0.0,0.0,0.0,12619,0
2077418,2015,,Direta,Médio Porte,136,136,136,136,0,0,30285,0,61.00926672038678,0.0,355030,Sao Paulo,07 HOSPITAL ESPECIALIZADO,006 PSIQUIATRIA,1,1190.0,0.0,0.0,30285.0,1501471.8099999994,0.0,0.0,0.0,0.0,81,0
2077426,2015,,OSS,Grande Porte,195,195,164,164,31,31,62329,8842,104.12462412295356,78.14405656208572,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,15583.0,657.0,657.0,62329.0,16870011.12999996,15.0,0.0,0.0,0.0,4378,0
2077434,2015,,OSS,Grande Porte,178,167,162,158,16,9,42487,2789,73.67262007976417,84.90106544901066,353620,Pariquera-Acu,05 HOSPITAL GERAL,N/A,1,9122.0,659.0,658.0,42487.0,8579616.470000023,272.0,0.0,0.0,0.0,3228,0
2077450,2015,,Público Municipal,Médio Porte,103,103,95,95,8,8,34402,2420,99.21268925739005,82.87671232876713,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,6047.0,428.0,427.0,34402.0,4903409.669999998,30.0,0.0,0.0,0.0,1810,0
2077469,2015,,Filantrópico,Grande Porte,160,26,127,16,33,10,1182,211,20.23972602739726,5.780821917808219,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,722.0,3.0,3.0,1182.0,459814.25999999966,0.0,0.0,0.0,0.0,188,0
2077477,2015,,Filantrópico,Especial,707,604,625,536,82,68,190818,23990,97.53526886117358,96.65592264302981,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,27474.0,1936.0,1936.0,190818.0,70496639.32999922,5558.0,0.0,0.0,0.0,10275,0
2077485,2015,,Filantrópico,Especial,794,735,677,621,117,114,156018,33930,68.83197670571107,81.54289834174477,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,24430.0,1276.0,1276.0,156018.0,52247318.41999985,4624.0,0.0,0.0,0.0,8969,0
2077493,2015,,Direta,Grande Porte,291,265,252,236,39,29,49510,5683,57.47620153238913,53.68918280585734,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,7393.0,460.0,460.0,49510.0,6346277.569999999,65.0,0.0,0.0,0.0,2091,0
2077507,2015,,Privado,Grande Porte,231,61,186,31,45,30,3415,467,30.18117543084401,4.264840182648402,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,560.0,22.0,22.0,3415.0,10436082.97999999,538.0,0.0,0.0,0.0,221,0
2077515,2015,,Público Municipal,HPP,16,16,16,16,0,0,202,0,3.458904109589041,0.0,350310,Arandu,05 HOSPITAL GERAL,N/A,1,52.0,4.0,4.0,202.0,21118.069999999996,0.0,0.0,0.0,0.0,49,0
2077523,2015,,Direta,Grande Porte,258,235,223,223,35,12,62650,3963,76.97032987284231,90.47945205479452,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,11261.0,591.0,590.0,62650.0,8332463.16,401.0,0.0,0.0,0.0,3252,0
2077531,2015,,Filantrópico,Grande Porte,360,193,315,181,45,12,41089,2696,62.194808143495045,61.55251141552512,355030,Sao Paulo,07 HOSPITAL ESPECIALIZADO,004 ONCOLOGIA,1,6512.0,420.0,420.0,41089.0,16902377.610000007,2657.0,0.0,0.0,0.0,1998,0
2077558,2015,,Filantrópico,HPP,42,30,42,30,0,0,4207,0,38.42009132420091,0.0,350050,Aguas De Lindoia,05 HOSPITAL GERAL,N/A,1,1669.0,81.0,81.0,4207.0,639355.3599999998,0.0,0.0,0.0,0.0,762,0
2077566,2015,,Público Municipal,HPP,36,36,36,36,0,0,3795,0,28.881278538812786,0.0,350280,Aracatuba,36 CLINICA/CENTRO DE ESPECIALIDADE,-,1,1867.0,0.0,0.0,3795.0,777177.0099999995,0.0,0.0,0.0,0.0,152,0
2077574,2015,,OSS,Grande Porte,487,457,447,417,40,40,131722,10681,86.54249203377024,73.15753424657534,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,20421.0,1243.0,1243.0,131722.0,24971418.790000163,743.0,0.0,0.0,0.0,6397,0
2077582,2015,,Filantrópico,Médio Porte,71,39,66,39,5,0,7645,0,53.70565507551809,0.0,352680,Lencois Paulista,05 HOSPITAL GERAL,N/A,1,2577.0,98.0,98.0,7645.0,1345071.2000000032,1.0,0.0,0.0,0.0,1000,0
2077590,2015,,Filantrópico,Grande Porte,170,104,160,94,10,10,25237,1577,73.55581463130282,43.205479452054796,355030,Sao Paulo,07 HOSPITAL ESPECIALIZADO,004 ONCOLOGIA,1,5798.0,398.0,398.0,25237.0,8757262.890000004,2045.0,0.0,0.0,0.0,1110,0
2077612,2015,,Filantrópico,Grande Porte,190,140,190,140,0,0,29516,0,57.76125244618395,0.0,355030,Sao Paulo,07 HOSPITAL ESPECIALIZADO,-,1,1475.0,0.0,0.0,29516.0,1462854.67,0.0,0.0,0.0,0.0,30,0
2077620,2015,,OSS,Grande Porte,311,295,285,269,26,26,93531,6701,95.25996842694913,70.61116965226554,355030,Sao Paulo,05 HOSPITAL GERAL,N/A,1,15133.0,878.0,878.0,93531.0,11454102.390000008,0.0,0.0,0.0,0.0,3450,0
