cod_ibge7,cod_ibge6,lon,lat
3542107,354210,-47.58358,-23.04222
3542206,354220,-50.91941,-22.34517
3542305,354230,-45.50272,-23.23091
3542404,354240,-51.30298,-22.24327
3542503,354250,-49.17606,-21.8594
3542602,354260,-47.83556,-24.50656
3542701,354270,-47.4903,-20.65054
3542800,354280,-49.04599,-24.61904
3542909,354290,-48.20287,-22.04669
3543006,354300,-48.79974,-24.25084
3543105,354310,-47.57025,-20.45619
3543204,354320,-49.93041,-22.75524
3543238,354323,-51.58673,-21.77802
3543253,354325,-48.36815,-24.19281
3543303,354330,-46.39587,-23.69963
3543402,354340,-47.81824,-21.20117
3543501,354350,-49.44522,-23.84709
3543600,354360,-47.44247,-20.06052
3543709,354370,-48.03671,-21.59394
3543808,354380,-50.71113,-21.68453
3543907,354390,-47.60403,-22.38556
3544004,354400,-47.59147,-22.85295
3544103,354410,-46.38592,-23.74427
3544202,354420,-49.72808,-20.03806
3544251,354425,-52.86309,-22.5162
3544301,354430,-45.30693,-22.9363
3544400,354440,-50.79381,-21.35821
3544509,354450,-51.01123,-20.27103
3544608,354460,-49.58329,-21.46332
3544707,354470,-51.00985,-21.86184
3544806,354480,-49.50522,-21.36617
3544905,354490,-47.84574,-20.84068
3545001,354500,-45.85666,-23.58058
3545100,354510,-50.87067,-21.57702
3545159,354515,-47.73472,-22.87392
3545209,354520,-47.29883,-23.17951
3545308,354530,-47.58014,-23.64897
3545407,354540,-49.9615,-22.89108
3545506,354550,-51.85305,-22.46727
3545605,354560,-48.84249,-21.3231
3545704,354570,-50.74595,-20.01891
3545803,354580,-47.41982,-22.80602
3546009,354600,-45.85443,-23.42584
3546108,354610,-50.91655,-20.06427
3546207,354620,-47.4774,-22.12215
3546256,354625,-47.45597,-21.25961
3546306,354630,-47.25232,-21.86524
3546405,354640,-49.56767,-22.80554
3546504,354650,-48.35566,-21.45209
3546603,354660,-50.95065,-20.25849
3546702,354670,-47.50956,-22.46434
3546801,354680,-46.23992,-23.29248
3546900,354690,-48.05264,-21.67745
3547007,354700,-48.16474,-22.57045
3547106,354710,-51.73956,-21.30322
3547205,354720,-50.79845,-20.25286
3547304,354730,-46.9095,-23.45718
3547403,354740,-50.81667,-20.07833
3547502,354750,-47.49683,-21.69677
3547601,354760,-47.35124,-21.50279
3547650,354765,-50.72809,-20.26548
3547700,354770,-51.73207,-22.04817
3547809,354780,-46.44189,-23.72798
3547908,354790,-47.19076,-21.08613
3548005,354800,-46.94745,-22.61552
3548054,354805,-50.55935,-20.86382
3548104,354810,-46.6889,-22.12515
3548203,354820,-45.69451,-22.83033
3548302,354830,-51.38721,-21.82842
3548401,354840,-50.52863,-21.65982
3548500,354850,-46.28741,-23.88145
3548609,354860,-45.69234,-22.6719
3548708,354870,-46.56904,-23.78074
3548807,354880,-46.56518,-23.62158
3548906,354890,-47.86955,-21.89731
3549003,354900,-50.69116,-20.35756
3549102,354910,-46.80031,-21.98757
3549201,354920,-50.38184,-20.40324
3549250,354925,-50.36652,-20.51233
3549300,354930,-51.66813,-21.21234
3549409,354940,-47.94065,-20.55262
3549508,354950,-47.6327,-20.57816
3549607,354960,-44.57057,-22.74894
3549706,354970,-46.89349,-21.61835
3549805,354980,-49.3779,-20.76673
3549904,354990,-45.92884,-23.07943
3549953,354995,-46.94951,-23.84841
3550001,355000,-45.24134,-23.24607
3550100,355010,-48.55428,-22.69606
3550209,355020,-48.00537,-23.90293
3550308,355030,-46.64415,-23.63852
3550407,355040,-47.88394,-22.55351
3550506,355050,-49.77388,-22.6816
3550605,355060,-47.12034,-23.53866
3550704,355070,-45.61586,-23.749
3550803,355080,-46.76094,-21.75196
3550902,355090,-47.56484,-21.46269
3551009,355100,-46.50115,-23.96679
3551108,355110,-47.78103,-23.65565
3551207,355120,-49.48973,-23.24905
3551306,355130,-49.9193,-20.62623
3551405,355140,-47.55743,-21.31332
3551504,355150,-47.61383,-21.2012
3551603,355160,-46.69683,-22.59058
3551702,355170,-48.00727,-21.12257
3551801,355180,-47.95638,-24.28672
3551900,355190,-48.793,-20.78715
3552007,355200,-44.84976,-22.71904
3552106,355210,-46.52834,-22.62047
3552205,355220,-47.42447,-23.48868
3552304,355230,-50.89658,-20.65324
3552403,355240,-47.25939,-22.84261
3552502,355250,-46.30786,-23.63555
3552551,355255,-51.07324,-20.48484
3552601,355260,-49.01569,-20.9485
3552700,355270,-48.63068,-21.71444
3552809,355280,-46.80085,-23.6284
3552908,355290,-51.33213,-22.51048
3553005,355300,-49.39682,-23.48772
3553104,355310,-48.53856,-21.13279
3553203,355320,-48.43002,-21.13189
3553302,355330,-47.26345,-21.59194
3553401,355340,-49.68453,-20.53768
3553500,355350,-47.58018,-24.00393
3553609,355360,-46.72886,-21.43499
3553658,355365,-48.38342,-21.07138
3553708,355370,-48.5361,-21.4263
3553807,355380,-49.24274,-23.53634
3553856,355385,-48.69389,-23.92981
3553906,355390,-51.62481,-22.36762
3553955,355395,-50.59414,-22.76061
3554003,355400,-47.90515,-23.36265
3554102,355410,-45.50828,-23.06788
3554201,355420,-49.31668,-23.34505
3554300,355430,-52.3726,-22.44752
3554409,355440,-48.33427,-20.77842
3554508,355450,-47.71826,-23.04468
3554607,355460,-49.59882,-23.1957
3554656,355465,-48.20091,-23.25096
3554706,355470,-48.1662,-22.46593
3554755,355475,-48.34371,-22.03057
3554805,355480,-45.59195,-22.94613
3554904,355490,-50.87304,-20.29358
3554953,355495,-46.66644,-22.82974
3555000,355500,-50.52277,-21.95288
3555109,355510,-51.60391,-21.38781
3555208,355520,-50.11005,-20.95073
3555307,355530,-50.46705,-20.07175
3555356,355535,-49.74468,-21.21925
3555406,355540,-45.01318,-23.38216
3555505,355550,-49.66793,-22.54161
3555604,355560,-49.16151,-20.92411
3555703,355570,-49.88378,-20.88491
3555802,355580,-50.66099,-20.19405
3555901,355590,-49.29525,-21.75812
3556008,355600,-49.26443,-21.20984
3556107,355610,-50.1091,-20.41525
3556206,355620,-46.98071,-22.98156
3556305,355630,-50.9194,-21.18956
3556354,355635,-46.41231,-22.88587
3556404,355640,-46.88909,-21.86859
3556453,355645,-47.02316,-23.62108
3556503,355650,-46.82223,-23.20887
3556602,355660,-49.83127,-22.23715
3556701,355670,-46.97195,-23.06122
3556800,355680,-48.3087,-20.86235
3556909,355690,-48.64712,-21.18298
3556958,355695,-50.47968,-20.19259
3557006,355700,-47.39857,-23.58711
3557105,355710,-50.00555,-20.46613
3557154,355715,-50.04583,-21.13061
3557204,355720,-49.74242,-23.05905
3557303,355730,-46.93309,-22.23303
